,Country,counts
0,Germany ,1209
1,Italy ,918
2,Switzerland ,900
3,France ,870
4,Spain ,508
5,Croatia,472
6,Netherlands ,417
7,United Kingdom ,139
8,Portugal ,115
9,Austria ,66
10,Denmark ,63
11,Greece ,41
12,Turkey ,41
13,Belgium ,40
14,Malta ,25
15,Slovenia ,25
16,Poland ,23
17,Finland ,22
18,Sweden ,13
19,Montenegro ,12
20,Slovak Republic ,9
21,Lake Constance ,9
22,Lake Geneva ,6
23,Monaco ,6
24,Cyprus ,5
25,Hungary ,4
26,United States ,4
27,Estonia ,4
28,Russian Federation ,4
29,Donau ,3
30,Czech Republic ,3
31,Ostsee ,2
32,Thailand ,2
33,Martinique ,2
34,Latvia ,2
35,Australia ,2
36,Bulgaria ,2
37,Taiwan ,1
38,Egypt ,1
39,Ireland ,1
40,French Southern Territories ,1
41,Seychelles ,1
42,Morocco ,1
43,Lebanon ,1
44,Serbia ,1
45,Oder ,1
46,Lithuania ,1
47,Isle of Man ,1
48,Romania ,1
49,Lago Maggiore ,1
